[class] name=MPSGraph superclass=MPSGraphObject
[method] class=MPSGraph kind=instance selector=adamUpdateWithLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:beta1PowerTensor:beta2PowerTensor:valuesTensor:momentumTensor:velocityTensor:maximumVelocityTensor:gradientTensor:name: types=@112@0:8@16@24@32@40@48@56@64@72@80@88@96@104
[method] class=MPSGraph kind=instance selector=adamUpdateWithLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:iterationTensor:valuesTensor:momentumTensor:velocityTensor:gradientTensor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
[method] class=MPSGraph kind=instance selector=adamWithCurrentLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:valuesTensor:momentumTensor:velocityTensor:maximumVelocityTensor:gradientTensor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
[method] class=MPSGraph kind=instance selector=adamWithLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:beta1PowerTensor:beta2PowerTensor:valuesTensor:momentumTensor:velocityTensor:maximumVelocityTensor:gradientTensor:name: types=@112@0:8@16@24@32@40@48@56@64@72@80@88@96@104
[method] class=MPSGraph kind=instance selector=applyAdamWithCurrentLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:variable:momentumVariable:velocityVariable:maximumVelocityVariable:gradientTensor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
[method] class=MPSGraph kind=instance selector=applyAdamWithLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:beta1PowerTensor:beta2PowerTensor:variable:momentumVariable:velocityVariable:gradientTensor:name: types=@104@0:8@16@24@32@40@48@56@64@72@80@88@96
[method] class=MPSGraph kind=instance selector=applyAdamWithLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:iterationTensor:variable:momentumVariable:velocityVariable:gradientTensor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
[method] class=MPSGraph kind=instance selector=applyStochasticGradientDescentWithLearningRateTensor:variable:gradientTensor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=argSortWithTensor:axis:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=argSortWithTensor:axisTensor:descending:name: types=@44@0:8@16@24B32@36
[method] class=MPSGraph kind=instance selector=argSortWithTensor:axisTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=assignVariable:withValueOfTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=atan2WithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=avgPooling2DGradientWithGradientTensor:sourceTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=avgPooling2DLayerWithTensor:kernelSizes:strides:paddingStyle:dataLayout:name: types=@64@0:8@16@24@32Q40Q48@56
[method] class=MPSGraph kind=instance selector=avgPooling2DWithSourceTensor:descriptor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=avgPooling4DGradientWithGradientTensor:sourceTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=avgPooling4DWithSourceTensor:descriptor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bandPartWithTensor:numLowerTensor:numUpperTensor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=batchNormalizationLayerWithTensor:batchNormalizationGammaInitializer:batchNormalizationBetaInitializer:batchNormalizationMeanInitializer:batchNormalizationVarianceInitializer:batchNormalizationEpsilon:dataLayout:name: types=@80@0:8@16@24@32@40@48d56Q64@72
[method] class=MPSGraph kind=instance selector=batchToSpaceTensor:spatialAxes:batchAxis:blockDimensions:usePixelShuffleOrder:name: types=@60@0:8@16@24q32@40B48@52
[method] class=MPSGraph kind=instance selector=batchToSpaceTensor:spatialAxesTensor:batchAxisTensor:blockDimensionsTensor:usePixelShuffleOrder:name: types=@60@0:8@16@24@32@40B48@52
[method] class=MPSGraph kind=instance selector=biasAddWithTensor:biases:dataLayout:name: types=@48@0:8@16@24Q32@40
[method] class=MPSGraph kind=instance selector=bitwiseANDWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bitwiseLeftShiftWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bitwiseNOTWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=bitwiseORWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bitwisePopulationCountWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=bitwiseRightShiftWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bitwiseXORWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bottomKWithGradientTensor:source:axis:k:name: types=@56@0:8@16@24q32Q40@48
[method] class=MPSGraph kind=instance selector=bottomKWithGradientTensor:source:axisTensor:kTensor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=bottomKWithSourceTensor:axis:k:name: types=@48@0:8@16q24Q32@40
[method] class=MPSGraph kind=instance selector=bottomKWithSourceTensor:axisTensor:kTensor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=broadcastShapesOfTensors:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=broadcastTensor:toShape:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=broadcastTensor:toShapeTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=bufferToTensorWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=bufferToTensorWithTensor:shape:type:interleave:isTensorBufferOp:isChannelAndInterleaveSame:name: types=@60@0:8@16@24I32@36B44B48@52
[method] class=MPSGraph kind=instance selector=callSymbolName:inputTensors:outputTypes:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=callWithInputTensors:outputTypes:symbolName:inliningOption:name: types=@56@0:8@16@24@32Q40@48
[method] class=MPSGraph kind=instance selector=callWithInputTensors:outputTypes:symbolName:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=castBooleansOfInputsTensors: types=@24@0:8@16
[method] class=MPSGraph kind=instance selector=colToImWithSourceTensor:outputShape:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=compileWithDevice:feeds:targetTensors:targetOperations: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=complexTensorWithRealTensor:imaginaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=concatTensor:withTensor:dimension:name: types=@48@0:8@16@24q32@40
[method] class=MPSGraph kind=instance selector=concatTensors:dimension:interleave:name: types=@44@0:8@16q24B32@36
[method] class=MPSGraph kind=instance selector=conjugateWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=convolution2DDataGradientWithIncomingGradientTensor:weightsTensor:outputShapeTensor:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution2DLayerWithTensor:kernelSizes:outputChannelCount:strides:activationType:weightsInitializer:biasesInitializer:batchNormalizationGammaInitializer:batchNormalizationBetaInitializer:batchNormalizationMeanInitializer:batchNormalizationVarianceInitializer:batchNormalizationEpsilon:paddingStyle:dataLayout:weightsLayout:name: types=@140@0:8@16@24Q32@40I48@52@60@68@76@84@92d100Q108Q116Q124@132
[method] class=MPSGraph kind=instance selector=convolution2DLayerWithTensor:kernelSizes:outputChannelCount:strides:activationType:weightsInitializer:biasesInitializer:paddingStyle:dataLayout:weightsLayout:name: types=@100@0:8@16@24Q32@40I48@52@60Q68Q76Q84@92
[method] class=MPSGraph kind=instance selector=convolution2DLayerWithTensor:kernelSizes:outputChannelCount:strides:dilationRates:groups:activationType:weightsInitializer:biasesInitializer:batchNormalizationGammaInitializer:batchNormalizationBetaInitializer:batchNormalizationMeanInitializer:batchNormalizationVarianceInitializer:batchNormalizationEpsilon:paddingStyle:dataLayout:weightsLayout:name: types=@156@0:8@16@24Q32@40@48Q56I64@68@76@84@92@100@108d116Q124Q132Q140@148
[method] class=MPSGraph kind=instance selector=convolution2DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShapeTensor:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution2DWithDefaultBatchNormalizationLayerWithTensor:kernelSizes:outputChannelCount:strides:activationType:weightsInitializer:biasesInitializer:paddingStyle:dataLayout:weightsLayout:name: types=@100@0:8@16@24Q32@40I48@52@60Q68Q76Q84@92
[method] class=MPSGraph kind=instance selector=convolution3DDataGradientWithIncomingGradientTensor:weightsTensor:outputShape:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution3DDataGradientWithIncomingGradientTensor:weightsTensor:outputShapeTensor:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution3DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShape:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution3DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShapeTensor:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution3DWithSourceTensor:weightsTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=convolutionTranspose2DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShapeTensor:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
